ts_unix_ns,portfolio,kol_name,token_address,token_symbol,bnb_in_wei,bnb_out_wei,pnl_wei,pnl_bnb,pnl_usd,pnl_pct,d_mcap_usd,our_entry_mcap_usd,bnb_usd_close,opened_at_block,closed_at_block,held_secs,buy_tx_count,close_reason,trigger_sell_tx,kol_exit_count,kol_exit_mcap_first_usd,kol_exit_mcap_last_usd,our_avg_exit_mcap_usd
1779213628609666940,fast_tip,D,0x1ea3ffc43ee291a4373418286e9b001aebe14444,🔶,75000000000000000,95127933561011568,20127933561011572,0.020128,12.88,0.268372,56954,69738,639.89,99241582,99241607,11,1,kol_sell,0x8bc50756acddc018d9cf79a11e3d3ad771bcda2602c5cb7f6d55ac94d92037cc,3,88780,81326,88454
1779213628609668640,normal_tip,D,0x1ea3ffc43ee291a4373418286e9b001aebe14444,🔶,75000000000000000,95127933561011568,20127933561011572,0.020128,12.88,0.268372,56954,69738,639.89,99241582,99241607,11,1,kol_sell,0x8bc50756acddc018d9cf79a11e3d3ad771bcda2602c5cb7f6d55ac94d92037cc,3,88780,81326,88454
1779244726148326513,fast_tip,A,0x806412f0ab7c0839f51eeccbd71072764e554444,棉花糖,32500000000000000,41038580302111664,8538580302111666,0.008539,5.45,0.262726,4121,4949,637.79,99310623,99314762,1864,1,kol_sell,0x1508cbc52dc838e208e316655a3823de8cae1930ce2f0c5ec993b261b0a94b25,1,6250,6250,6250
1779244726148328723,normal_tip,A,0x806412f0ab7c0839f51eeccbd71072764e554444,棉花糖,32500000000000000,41038580302111664,8538580302111666,0.008539,5.45,0.262726,4121,4949,637.79,99310623,99314762,1864,1,kol_sell,0x1508cbc52dc838e208e316655a3823de8cae1930ce2f0c5ec993b261b0a94b25,1,6250,6250,6250
1779246637970598422,normal_tip,O,0x849772f16ce0c1830ad47014534b6d817a054444,关中咪,35000000000000000,30395298755381328,-4604701244618675,-0.004605,-2.94,-0.131563,4528,5017,637.82,99314868,99314910,19,1,kol_sell,0x2974f214ce434887e2060db64ecd23510d0b99aa3bf32f54c4ff982f2c3bdf57,2,4877,4017,4357
1779246637970597282,fast_tip,O,0x849772f16ce0c1830ad47014534b6d817a054444,关中咪,35000000000000000,30395298755381328,-4604701244618675,-0.004605,-2.94,-0.131563,4528,5017,637.82,99314868,99314910,19,1,kol_sell,0x2974f214ce434887e2060db64ecd23510d0b99aa3bf32f54c4ff982f2c3bdf57,2,4877,4017,4357
1779247524870252261,normal_tip,A,0x9264bda05c5bfe29306b92bc3fe85916b49b4444,表白,32500000000000000,19378828869643512,-13121171130356490,-0.013121,-8.38,-0.403728,4504,6415,638.65,99316836,99316974,62,1,kol_sell,0x508674e64d71d6775b28649e60568fa9d981a8717f68994eabe09846eb4073bb,1,4248,4248,3825
1779247524870250661,fast_tip,A,0x9264bda05c5bfe29306b92bc3fe85916b49b4444,表白,32500000000000000,19378828869643512,-13121171130356490,-0.013121,-8.38,-0.403728,4504,6415,638.65,99316836,99316974,62,1,kol_sell,0x508674e64d71d6775b28649e60568fa9d981a8717f68994eabe09846eb4073bb,1,4248,4248,3825
1779247607793293403,normal_tip,A,0xe41bcaa975bd38bcf81351ba991afde691ed4444,币爱,32500000000000000,25342028250700316,-7157971749299684,-0.007158,-4.57,-0.220245,4585,5271,638.81,99317020,99317059,17,1,kol_sell,0xa491759f004b0195c44f99bc61c2564fa0c28fde67540b8f3938faeba3226793,2,4693,3766,4110
1779247607793291703,fast_tip,A,0xe41bcaa975bd38bcf81351ba991afde691ed4444,币爱,32500000000000000,25342028250700316,-7157971749299684,-0.007158,-4.57,-0.220245,4585,5271,638.81,99317020,99317059,17,1,kol_sell,0xa491759f004b0195c44f99bc61c2564fa0c28fde67540b8f3938faeba3226793,2,4693,3766,4110
1779247729051361908,fast_tip,A,0x2d3ae40466dabbe9cd5751608058b6592f514444,企鹅聊天室,32500000000000000,28889815940444376,-3610184059555626,-0.003610,-2.31,-0.111083,4133,4924,639.65,99317289,99317334,20,1,kol_sell,0x663270a41e904d64393d4b844974626cf9e74e7855f8fd2b71d6085b9768afea,2,5223,3773,4377
1779247729051363728,normal_tip,A,0x2d3ae40466dabbe9cd5751608058b6592f514444,企鹅聊天室,32500000000000000,28889815940444376,-3610184059555626,-0.003610,-2.31,-0.111083,4133,4924,639.65,99317289,99317334,20,1,kol_sell,0x663270a41e904d64393d4b844974626cf9e74e7855f8fd2b71d6085b9768afea,2,5223,3773,4377
1779248023509998364,fast_tip,A,0xcd7baf541f64821f1b41c934e9427173d6814444,币安表白室,32500000000000000,33438472738322912,938472738322912,0.000938,0.60,0.028876,6589,7501,639.37,99317943,99317993,22,1,kol_sell,0x1c44ca6c3c80f6b3bf81775cd7069a12988ce387894ae56d2c3681511f2a6daa,2,8030,7763,7718
1779248023510000604,normal_tip,A,0xcd7baf541f64821f1b41c934e9427173d6814444,币安表白室,32500000000000000,33438472738322912,938472738322912,0.000938,0.60,0.028876,6589,7501,639.37,99317943,99317993,22,1,kol_sell,0x1c44ca6c3c80f6b3bf81775cd7069a12988ce387894ae56d2c3681511f2a6daa,2,8030,7763,7718
1779248269270306770,normal_tip,O,0x6fa31b5adf3ef7f38496ef5d4c88c6480f5f4444,米米,35000000000000000,31350202576854704,-3649797423145300,-0.003650,-2.34,-0.104280,4620,5195,639.79,99318488,99318629,63,1,kol_sell,0xdc12778554947947e48cc6be8093d5de88dfb3acdadffc09e635ce416313d893,1,4653,4653,4653
1779248269270305760,fast_tip,O,0x6fa31b5adf3ef7f38496ef5d4c88c6480f5f4444,米米,35000000000000000,31350202576854704,-3649797423145300,-0.003650,-2.34,-0.104280,4620,5195,639.79,99318488,99318629,63,1,kol_sell,0xdc12778554947947e48cc6be8093d5de88dfb3acdadffc09e635ce416313d893,1,4653,4653,4653
1779248356210996013,normal_tip,D,0x2cd9bf7d96af8bc6f3126cec064b549d9b3e4444,RoseYi,34500000000000000,74040488843342688,39540488843342688,0.039540,25.29,1.146101,5243,6983,639.72,99318681,99318702,9,1,kol_sell,0x1a17b9508061ced8cb1a070e24ad5834fb0011c451103d40aecfb77f34a7100a,4,12239,12270,14986
1779248356210994703,fast_tip,D,0x2cd9bf7d96af8bc6f3126cec064b549d9b3e4444,RoseYi,34500000000000000,74040488843342688,39540488843342688,0.039540,25.29,1.146101,5243,6983,639.72,99318681,99318702,9,1,kol_sell,0x1a17b9508061ced8cb1a070e24ad5834fb0011c451103d40aecfb77f34a7100a,4,12239,12270,14986
1779248361683997497,fast_tip,O,0x67fcba4a2ce844de8e75751631beb1342aa78888,FDiamond ,75000000000000000,69181010685971672,-5818989314028328,-0.005819,-3.72,-0.077587,118571,126282,639.59,99318693,99318972,125,1,kol_sell,0x3c97c933dd82bde52f1d68d6ae473aff0d5dd9a5044f2f72de014134aaec1222,1,120417,116485,116485
1779248361683998927,normal_tip,O,0x67fcba4a2ce844de8e75751631beb1342aa78888,FDiamond ,75000000000000000,69181010685971672,-5818989314028328,-0.005819,-3.72,-0.077587,118571,126282,639.59,99318693,99318972,125,1,kol_sell,0x3c97c933dd82bde52f1d68d6ae473aff0d5dd9a5044f2f72de014134aaec1222,1,120417,116485,116485
