ts_unix_ns,portfolio,kol_name,token_address,token_symbol,bnb_in_wei,bnb_out_wei,pnl_wei,pnl_bnb,pnl_usd,pnl_pct,d_mcap_usd,our_entry_mcap_usd,bnb_usd_close,opened_at_block,closed_at_block,held_secs,buy_tx_count,close_reason,trigger_sell_tx,kol_exit_count,kol_exit_mcap_first_usd,kol_exit_mcap_last_usd,our_avg_exit_mcap_usd
1779721096898092836,fast_tip,I,0x65d79e96e7c3495b45b69a4195f6d61eb8cd4444,builder,30000000000000000,30324247615917754,324247615917754,0.000324,0.22,0.010808,4889,5147,670.68,100367755,100367775,10,1,kol_sell,0x2fa00d76dd6e16c89619d9362cbca45505149f4e516635642efec288eb0c79f5,1,5638,5638,5202
1779721385677254009,fast_tip,O,0xe80e30a61007e65a44901589f7e2036b22e14444,涨,30000000000000000,34682914337708055,4682914337708055,0.004683,3.14,0.156097,4366,4596,670.95,100368396,100368418,11,1,kol_sell,0x6e2997e2a975cc1662cbf80c4fd661de3c4cd84c614f9a8e13c18f1c896ff65a,1,5936,5936,5313
1779723245677905614,fast_tip,C,0xcca127df4c1bd6e3a55d40e18cda5a77a9454444,德赛,30000000000000000,54156662110055031,24156662110055031,0.024157,16.14,0.805222,7963,8382,668.02,100372523,100372541,8,1,kol_sell,0x88637f43183ec05704daf76ccec03d69ef5f3da343991db39a116939704fbe30,1,16191,16191,15131
1779723253825582854,fast_tip,O,0xcca127df4c1bd6e3a55d40e18cda5a77a9454444,德赛,30468291433770805,16863356908574255,-13604934525196550,-0.013605,-9.09,-0.446528,19463,20487,668.02,100372541,100372571,14,1,kol_sell,0x17deba3c07e8d3ad832ba1e87e93e0ef2581b0445ba5086454fffc6dc1b71256,1,12572,12572,11339
1779723521540903102,fast_tip,O,0xc08441feb8a5d1a201b552cddb7622ba1ab54444,赵长͏鹏,29107797981251150,21270829555697991,-7836968425553159,-0.007837,-5.23,-0.269239,5823,6347,667.91,100373135,100373161,12,1,kol_sell,0x7d454ebd0b0e939dcc09535510a52832590a19868d2fe334cad401affef7af04,1,5088,5088,4638
1779763193360230404,fast_tip,K,0x062c4e94e4c27ee0b3131bbc6e17c55ca10f4444,先驱者,30000000000000000,26853288369206761,-3146711630793239,-0.003147,-2.07,-0.104890,4749,6007,658.24,100461213,100461241,13,1,kol_sell,0xddfd506514fc1d9de4f6d82ab7c1cd46b5c369f09168eb8822eed0c8375c1083,1,6244,6244,5377
1779767364156869844,fast_tip,G,0x2898575081b8516733588baee246b76c1c904444,Hermew,30000000000000000,25413903706957718,-4586096293042282,-0.004586,-3.02,-0.152870,4552,4791,657.67,100470466,100470564,45,1,kol_sell,0xabb19ad6c3f73e603606e29328d2e742787598ccbcad5ba855fe105ca5a70d30,1,4426,4426,4059
1779767709707525378,fast_tip,G,0x6657adbcaa70f579a46a13dbab7961695e434444,币安恋,29541390370695771,52404671397017133,22863281026321362,0.022863,15.01,0.773941,13529,14241,656.49,100471233,100472842,726,1,kol_sell,0x9631744bff58bb781b2481012110af249da06e96b03ae8e0a673b068c9c4aba8,1,27011,27011,25221
1779772422297870213,fast_tip,M,0x9177895f8d9774aa04daebad281b925fd33a4444,币圈江湖,24300000000000000,24446739923025606,146739923025606,0.000147,0.10,0.006039,5689,5988,658.62,100481686,100482490,363,1,kol_sell,0xa57d3c84be2f0cd581a3b23b51e07b2ac7c5f01e5e5dbe746d51c9b19db0b14a,1,6666,6666,6028
1779774812816265552,fast_tip,D,0x357b0f7c1d51269789e330ad4e3adebb37a14444,赫尔墨斯,30000000000000000,15212010654657739,-14787989345342261,-0.014788,-9.73,-0.492933,8447,12340,657.85,100486992,100487093,47,1,kol_sell,0xa0e59ea08caf9c4d872b54ec3f6b239c8b8aa339857d4917640e81daf078d5e6,1,7271,7271,6257
1779775526472507536,fast_tip,D,0xa3f6192745f98f78879b0aae550372ee0f1b4444,念张师,25669080958919196,17142120625626531,-8526960333292665,-0.008527,-5.61,-0.332188,14362,18612,658.12,100488575,100489376,363,1,kol_sell,0xd3682760adb4a530277f2430eb5886fa3236fbe2f7bd225fd15a72e4298700a0,1,14119,14119,12423
