ts_unix_ns,portfolio,kol_name,token_address,token_symbol,bnb_in_wei,bnb_out_wei,pnl_wei,pnl_bnb,pnl_usd,pnl_pct,d_mcap_usd,our_entry_mcap_usd,bnb_usd_close,opened_at_block,closed_at_block,held_secs,buy_tx_count,close_reason,trigger_sell_tx,kol_exit_count,kol_exit_mcap_first_usd,kol_exit_mcap_last_usd,our_avg_exit_mcap_usd
1779721085499660918,fast_tip,N,0x8bbf768d1383fd90ccde76ec55302ece90b44444,NiceGuy,30000000000000000,25663813196575013,-4336186803424987,-0.004336,-2.91,-0.144540,5342,5565,670.68,100367730,100367731,1,1,kol_sell,0xeb982f0f27eb2d1e60d9aff428092b49fe3de60a2ecb476fce1df99378498dfe,1,5131,5131,4760
1779721112273987321,fast_tip,A,0x65d79e96e7c3495b45b69a4195f6d61eb8cd4444,builder,30000000000000000,30592500611740416,592500611740416,0.000593,0.40,0.019750,6669,6947,670.75,100367789,100367805,7,1,kol_sell,0xec81274fc7f123aaa187a1442424cda915da70d5eb2ef42eeeb35a5ee2de1755,1,7596,7596,7085
1779721547352715540,fast_tip,M,0xb8aa79bd2da5cab95920ed2330ef7213485c4444,BNBSupreme,30000000000000000,38543069657293592,8543069657293592,0.008543,5.73,0.284769,7426,7747,670.71,100368755,100368763,4,1,kol_sell,0x0a72b58bb00e8dc22cfec3732097e9ffadeebe2fffb9599ca93085b13fcd9e93,1,11796,11796,9953
1779721554938670131,fast_tip,N,0x5b8f06e26f0bfbfe125dca2f4873ce5fb8784444,BNBSupreme,29566381319657501,28009608788843649,-1556772530813852,-0.001557,-1.04,-0.052653,5049,5259,670.71,100368772,100368797,11,1,kol_sell,0x8689170c9a9789b3b00c249a79999aa7412b053fd7b26d3db8a7e6c149149703,1,5356,5356,4982
1779721620494850507,fast_tip,A,0x5b8f06e26f0bfbfe125dca2f4873ce5fb8784444,BNBSupreme,57112575116230678,53933984151245494,-3178590964985184,-0.003179,-2.13,-0.055655,32861,35312,670.43,100368917,100368938,9,2,kol_sell,0xe3280cabfdda34f547aaac7585af7e6e128ea2a0249ca7747cec1b71c5861697,1,37126,37126,35060
1779721633774043115,fast_tip,E,0x629ae9786923f80f733faa0f7a334d6af3a94444,BNBSuprem,30000000000000000,21195734161886360,-8804265838113640,-0.008804,-5.90,-0.293476,7707,8028,670.57,100368947,100368960,6,1,kol_sell,0x03482dc9c3e07a2f6f569fe104be486b1eb32d9c96568ae19b58edcebea16b1b,1,6158,6158,5672
1779721677831976927,fast_tip,M,0x5b8f06e26f0bfbfe125dca2f4873ce5fb8784444,BNBSupreme,30854306965729359,41069932496599662,10215625530870303,0.010216,6.85,0.331092,28693,29889,670.44,100369045,100369409,164,1,kol_sell,0x2d3a65aae360c42bca80a0e1153b93a04c1fbc9507e598f502ecf6846108867f,1,43601,43601,39771
1779721845778246536,fast_tip,M,0x5b8f06e26f0bfbfe125dca2f4873ce5fb8784444,BNBSupreme,31875869518816389,31334373062250792,-541496456565597,-0.000541,-0.36,-0.016988,49143,51191,670.58,100369418,100369477,27,1,kol_sell,0x659dc67be755094e50a5a79075e84bb010a84455e78667bac951df0d695f3094,1,49192,49192,50332
1779721763263869782,fast_tip,A,0xe70ffc1744adc6c5e45288b62591d0a15d2b4444,Up,56508642832883493,33285502518071955,-23223140314811538,-0.023223,-15.57,-0.410966,37020,37190,670.58,100369235,100369514,126,2,kol_sell,0xa66b67424325550f13d165a7d609fb8a341ee0db38f11c9eef36fa64d38fda60,1,23884,23884,22015
1779721878326123996,fast_tip,M,0x5b8f06e26f0bfbfe125dca2f4873ce5fb8784444,BNBSupreme,31821719873159829,19834656581858797,-11987063291301032,-0.011987,-8.04,-0.376694,38309,38491,670.63,100369490,100369641,68,1,kol_sell,0x44a9a51b76f53b8f7e43aaaf4f4d5940ea5a42a7f6c7674070d04c238fd63f9a,1,24327,24327,23993
1779722405963690000,fast_tip,A,0x13b510644530f709b9919ddb8e51c3b3c0984444,YZiTalent,25010024265055652,23453962852229678,-1556061412825974,-0.001556,-1.04,-0.062218,8845,9214,669.43,100370660,100370668,4,1,kol_sell,0xe9d834ac330260a18907aaf9726d03d950c8f5ebdd5e6641072e973ca916b6ae,1,9345,9345,8641
1779722420682974401,fast_tip,A,0x20a3b35094f88beacddfb338056e758758d84444,YZiTalent,24854418123773054,18565515980387112,-6288902143385942,-0.006289,-4.21,-0.253030,5740,5979,669.43,100370693,100370707,7,1,kol_sell,0x15dbc90de54b1dd8a302d32359acd65c773fb68cd701ceee2a786eb42433cdc8,1,4877,4877,4466
1779722408606841748,fast_tip,M,0xe383039580f44bc003b61986bbe4cfe7c24b4444,YZi天才,27560712189626754,15382594825205185,-12178117364421569,-0.012178,-8.15,-0.441865,4568,6765,669.15,100370666,100370748,37,1,kol_sell,0x4e0de64b5037a8531dfa2e96deca9d45f9a305e0aa11846ca211afecbc8c854a,1,4161,4161,3774
1779723250572976254,fast_tip,M,0xcca127df4c1bd6e3a55d40e18cda5a77a9454444,德赛,26342900453184597,22826697723929014,-3516202729255583,-0.003516,-2.35,-0.133478,14023,16931,668.02,100372534,100372554,9,1,kol_sell,0xbb5484c133cd4d151d27f4395d40759d0932ac243ba44381532d1bef48e456a9,1,15884,15884,14672
