d_block,d_token,d_tx,d_gas_gwei,d_idx,d_rank_in_buys,n_buy_txs,n_before,n_after,n_same_token_competitors,before_max_gas_gwei,after_max_gas_gwei
96511449,0x460b51e30ac278e695079f1df833c63dd2534444,0x8cfdc0cf1a23003464d66b7daea3aba306c6ea45e2fc7dab9b08b0edb96db01c,7.00,3,1,9,1,7,0,5.00,7.00
96510149,0x5e7c1bcfe00a0a3fe6c4c2a85ead2c8e135b4444,0x8d5a3f59240b1c1d099d02ec0c9c586bc35062810795b9b37ce618bc7a857cd7,92.00,3,0,1,0,0,0,0.00,0.00
96510222,0x57bfba6261f2cca23c9f0ae4990990b672f84444,0xb7ffc52951d32c848c2f9bb29f43512574cbd10610766e8d8586a78de73948e1,92.00,2,0,4,0,3,0,0.00,0.88
96503336,0x27a1764dd1dee5308ad632eb6f3fb8856ca6ffff,0x678db7d31a5eb342e1464c1022157ff41e3cb1b436d6a28e0b9cfd47cd4d5b83,7.00,1,0,1,0,0,0,0.00,0.00
96463136,0x555e72fa683af9502ac37c33c6d178ecb98a4444,0x292a79b6fbe5f676389f6ec0c73c875138d50a7d4e1e1574b13129c143fb9317,7.00,54,0,1,0,0,0,0.00,0.00
96344543,0x22413ea64102480d0650e72844989ee7aab84444,0x1e4ccd7c7a580bb92b8d43ca25d690d2fcaa4d779c30c180bc6d6a600b8d81a0,92.00,3,0,1,0,0,0,0.00,0.00
96511155,0xa4b79ddc047d301e1cfa21e1d4b524d1260e4444,0x31ce3b597ad6f0033d979b422add50b7c13660832511b1bad64deef4d340beac,92.00,2,0,5,0,4,0,0.00,3.00
96511158,0xa4b79ddc047d301e1cfa21e1d4b524d1260e4444,0xa1260ceb3aa1365f2e807f5f0148cbfb0f44e2504b25173bcd294dd531832e44,92.00,2,0,9,0,8,0,0.00,40.00
96296830,0xe0479f70ba1e2b8d069c106800bca7a8be2d4444,0x974e82bc815de6d9572d91e71f17b36fa86e7b7e8aba78535a1cd33e668d684c,92.00,3,0,2,0,1,0,0.00,10.00
96503036,0xf74231c255992ad52a03f5441c5ab1bf37924444,0x63f126296c6b991c5f0d43058a79a8dd950578ff377e94dd438b2846aca00214,92.00,3,0,2,0,1,0,0.00,0.24
96511978,0xf08a9f2385ea62d0569f322dd1a407fb34cf4444,0x80b45bab76e95d6676a80e0b04968e21d4358411c27242e74e1849c6647defd5,92.00,122,11,14,11,2,0,201.00,40.00
96349707,0x1c61f1df90518869e395db10eb8c22adc59c4444,0xa6702499ab0c25b68aedb8ab72364825dfb8299ed3ac5311a8a55911180b7227,7.00,1,0,3,0,2,0,0.00,0.12
96515886,0x7bece81ab03372f4604a561a66c04a027cc14444,0xc4b582ef42cd11f7a79bb087dbd99ba512c0e76a3aad1e276faff218c073937a,7.00,1,0,4,0,3,0,0.00,0.12
96349799,0x1c61f1df90518869e395db10eb8c22adc59c4444,0x321e97f39e010465be35042eccd8492374b902ec45339a1f9053f50ebd8f669b,7.00,5,0,6,0,5,0,0.00,16.00
96509681,0x7bece81ab03372f4604a561a66c04a027cc14444,0x7fac6b97b10db3e0ff3724ad91a34f1860a715845260b9cfd9e490f4989a348b,92.00,8,3,4,3,0,0,111.00,0.00
96508274,0x65fc1103f72b8d6c6c8f1a5336cf283bed764444,0x78a42d65f917fe13aadbc1c1a26b3b2156bad8e625c024983e04bc726eebec6c,7.00,3,0,2,0,1,0,0.00,0.12
96634756,0x479b19544c8888b1efec169cadd4bfa4a13a4444,0xaa3883bfa16c01c9683e102d711983e0215e01d8a35ec90e4a3f9ab04b56f0d1,7.00,56,1,3,1,1,0,0.12,11.00
96659636,0x424d96dcfb58f6d48a9ec581712df9600d684444,0x15d01798e63ca10588c26f4efb726a6f5b90293e13001d370b7f6a315c0e1aa9,92.00,2,0,4,0,3,0,0.00,2.00
96519764,0x93a9daa25b6c4c121b5161bddb8e9cd578224444,0xeae2aa48344d99383fcc5992e3c789ccba7487686e03de051d96fcd5571f102c,92.00,3,0,1,0,0,0,0.00,0.00
96520980,0x685b166ec4c3114b898979e80886ac6d9eaeffff,0x4bab212da346b7969cb16202762cbdf04cefefc9545733246a1bce122f2f063c,92.00,2,0,4,0,3,0,0.00,2.00
96521059,0x2a0175aadbfb2db91aaba8013fbb5ff24492ffff,0x65a5a6873df9fc4a65d9909a30e50380456ada05001279194550e1c02523fb86,7.00,0,0,3,0,2,0,0.00,0.12
96539305,0x89937972592fac6c24bed6d7fcab5ffd92264444,0x1e5f5f9a4f10884f625cb59aee8cf45d7105b9e68ff63b924aae61287d8ef1d4,92.00,3,0,4,0,3,0,0.00,0.12
96548092,0x61cd06799478689ab7b0ff4fa2db929c04324444,0x59fd730f9b1cd4eb75b27a4310bbe41380a81e1202ee6a870944d832cabe112e,7.00,1,0,1,0,0,0,0.00,0.00
96660209,0x827077b2490f8225e219e3be75e66df47de44444,0xd33301b68ccd5610432cfaf38940cc54b1ee563d5b85fe251db94b54e8ec46cc,7.00,1,0,11,0,10,0,0.00,50.00
96549208,0x22bb43576955726e85418c320caa325b99364444,0xe25351f6256b099a51a8047d59a76d65360cef2dfafb7063da4ca852224c6f59,7.00,58,1,2,1,0,0,0.12,0.00
96662838,0xa51b6bd9011a5c72a4599a2f17620af849324444,0xd9020bf724374f7fe0a4210f4ac15998d8836fbe92ae14daacb175c46f5b0ca7,92.00,2,0,3,0,2,0,0.00,0.30
96667184,0x13a687f766f8d00fa40301d08f55276f39174444,0x76e6f13ab195228f4567f7443af2dfb4a6664295c3f1baa782aa75a82cdc57d6,92.00,2,0,3,0,2,0,0.00,0.12
96662857,0x06561f40f21954232a80de814e870f360daf4444,0xbd49f94b70507896efd76a5f108c400b37225f9825bd66535c8382aea9153534,92.00,19,0,1,0,0,0,0.00,0.00
96661191,0x27b8d57c9e412757af6d7efabcbb637224f14444,0xd40e6c4aea8dbd6525d23d1117793cc934d4dba46acf6edd8b05c9e61a1f6d7d,7.00,5,3,6,3,2,0,88.88,1.00
96670884,0xb6c9318aeae30a348573559a28c222e448824444,0x49271ea85aafec677ff626d04431f8545f2e7550ce069f26553943297160615f,1200.00,2,0,9,0,8,0,0.00,13.00
96632275,0x64fa7f75d769a559a76c37a83255ba3a0b954444,0x716da0322f5777ba412f7b2f9c38948347940a455c3c0ee5495e3545caa8dfd0,7.00,2,0,2,0,1,0,0.00,0.12
96662870,0x06561f40f21954232a80de814e870f360daf4444,0xd3c6078a2d20461bebae03df65866124a3d53e32229f8629c2b3424ccdc01ca3,7.00,1,0,6,0,5,0,0.00,66.00
96677785,0xfffed044efa7c973a39475f235d7fbd71ba34444,0x4d812b75aea8f7e3cb7cf5cc3cbeb7793e3338a89df17e9e8df5bcd51cb586af,92.00,103,4,6,4,1,0,60.00,1.11
96680314,0x4ee40f2681463631db040e97478965634b224444,0xb1763f5e630efbb3ebb1bf7c4c49a724e7dbe2507a15a923c4a7da5638fba651,92.00,2,0,3,0,2,0,0.00,0.30
96680380,0xb74cf9a95eda650bb72f5fdd289e01645b2a4444,0x020b9f593f129bc7514ecf4fd924f0f71515eae95c5876fa6bd0997573d649ba,7.00,8,0,3,0,2,0,0.00,0.06
