d_block,tx,token,d_price,n2_price,ath_block,ath_price,ath_offset,ath_mult_vs_n2,first_sell_offset,net_flip_offset,dump_20_offset,dump_30_offset,buyer_decline_offset,max_sell_bnb_wei,max_sell_offset,n_events,n_blocks_active
100889971,0xcde514ad5f7c2323b14dd5d216ac8a7304dd16394b00d79a7a6621ef38f747b4,0x5580699aae8db08a9a5a81378242369446c34444,1.0446217474228494e-08,1.5263147911006265e-08,100890319,2.9493885858549775e-08,348,1.932359302977187,2,349,366,532,91,1341066426340486981,2,880,580
100895146,0xbfc40287ade14177f81ce99211c8b20a8a85b0441d895717d28d3a0900c1eddf,0xfa88628a8669221db80bae8e971c33c8428a4444,7.71609485174194e-09,1.1354309316415735e-08,100895171,1.2641688520822393e-08,25,1.1133824320379755,1,26,42,44,16,999999999999999994,1,133,95
100896813,0x6e6ec6940cb3e2b646b641b30b55aa2e3c66b54d87d7189cf38de05eb9552390,0x2ecf5bf265761f7befb3706660cb593aec174444,7.139105537415699e-09,1.11990857326385e-08,100896813,1.278402467920276e-08,0,1.1415239586875499,1,1,9,46,17,1225395438881997369,1,99,78
100919264,0xb7cc7ac390fce9fc6a48681b8a561fb0654d69507c6c920689cfbd87a40e83ec,0x62428e79b491922e06e91e80e6fa25987b794444,9.13742097719026e-09,1.9602339014419113e-08,100919274,3.713026412785635e-08,10,1.8941751849380843,2,11,14,14,15,1991439685731134451,14,282,90
100924545,0x662eeb06cbcb7317789faa5063364129196ccb10b8e7873dafa409d40dd35715,0xf5af1b9eb91cbdfb3250cf3d096f1af874ef4444,7.242934018338891e-09,1.1112349609086327e-08,100924660,1.9997064093704347e-08,115,1.7995351835720848,1,116,117,145,14,942151100571831869,1,424,218
100927122,0x50525238a9ebdbfb2fa47b1706425c6bab09c03802bbca220b07cc3e8e639b50,0x609c94d77e96e3bf175d80131e0f908db8484444,8.547201545468267e-09,1.2458433285885355e-08,100927123,1.501009716143022e-08,1,1.2048141862617465,2,2,13,16,14,1248225167771078199,2,49,26
100927892,0xca98e417e90522b2788fbe135a4df95266ea45493f7f6413c0d726dbb7a6b023,0x6281ba9fec774fa0f107839aacddc65b10314444,1.5196455246723312e-08,1.980563990438795e-08,100927897,2.617600332382658e-08,5,1.321643908007601,0,8,8,9,11,966897023108667095,2,596,348
100929837,0xebb62aad373e5312dfe3c63513f47e636998a80d5222d93189b007c1aa4c228d,0x8717dcc0c0c8506c156188a9569aa880390c4444,1.364383443163427e-08,1.7905232634522223e-08,100929880,3.280891618270269e-08,43,1.832364697649635,2,44,51,53,12,1199699225292476773,150,444,289
100936325,0xa31f4f168440dcbd9529ed15e1b7029af21878555758b39381e5baf7c769d2b8,0xdacfd90679ec2930e1993d6db1d974b2fcc14444,9.17921962896016e-09,1.7920385831275657e-08,100936328,1.8512694654147498e-08,3,1.0330522360650356,3,8,13,20,17,843141088883908862,3,65,42
100938674,0xf505e8ad19f54fc5ec54b9bffe9cd898bea149b0da32e85cd55669c7197e8840,0x58c4d33a068ad982c3642ce9f9dacce4a0f94444,7.365785294044005e-09,1.1457481448228523e-08,100938675,1.2108102984792206e-08,1,1.0567857377298462,3,3,72,78,28,678151986862559932,3,45,33
100943369,0xdc66f904da1b440c675b30ecda187f21833bb1d1efa0d3ad6c5f00c50efda085,0x30161b243358eb63d75171870e3fb53a36764444,6.966459526604401e-09,1.2574727746965245e-08,100943375,1.528448651884252e-08,6,1.2154924405843492,2,7,14,22,12,1433418409460627172,2,105,63
101038816,0x2f6b262e66e6148faa79af51c8a62a983a3188cccb266e8b51f1567fd9682bdd,0x45229ed2b4d93dc1d960ede973bc9ad1828d4444,1.1517716102535548e-08,4.671433994532543e-08,101038826,8.789745505382134e-08,10,1.8815947128161656,1,,,,,2346515516892339816,8,97,11
101038870,0x988a480026fef6ca3b5412d9760de1dfe3eb8399ece987909de26bcd53db4a27,0x1b29d7def95094b3eda7813a48a6348999504444,1.1359599688961834e-08,1.374255832997132e-08,101039526,3.736577132139529e-08,656,2.7189821883385283,3,658,729,797,43,1707941651163951191,113,1060,765
101042507,0x01846578610f2eb496c6c9e004fc53735cab9a20545dd2770b83c47f6ec286da,0xe42fe2c48cd9fbcba20f12c75518a7cf1a734444,6.674765917957715e-09,1.1559761573494293e-08,101042517,1.5543781051061842e-08,10,1.3446454714691194,5,12,15,20,16,726961082513532423,5,126,63
101042849,0x5d0168c9b0149271d6085a4875553ed0aa1b4153fa8e15e0feb849fbdccce426,0xb15c87115ad5ba15add8a0c089fe1fdd38fb4444,3.033741683354988e-08,4.019197681486699e-08,101046739,4.848583251595712e-08,3890,1.2063560033210965,2,3933,,,11,725372308166664579,1458,276,235
101047606,0xc70f807c8190d290ad0223a4efbaa5d93d82ba690fbb736d237afe24f5934804,0x39faef60fbfadd8758b9b90f6a1d9180d4fc4444,8.987308815093648e-09,9.478174327957508e-09,101047639,1.3377061456130166e-08,33,1.41135423271043,1,34,53,57,18,1197679540023827087,1,115,68
101062890,0x1d6ee62841b6a3c73ffde33a4135f57cf8be54fbdf4a65968168eba024061f89,0x010349a351480b31ec8c4e6a8b7fc9facb8a4444,9.212611521826806e-09,1.0625141242283507e-08,101062909,4.183951320194797e-08,19,3.937784190147482,0,20,22,27,44,1617659379243812931,27,658,205
101072762,0xdbdc9e235759306a3f643e5428784d61915dda6895730c2a09194ed9528a92ac,0x0fccf331dad1902238a26d6350ba762fd3064444,8.05488996133861e-09,1.2656506007738439e-08,101072892,2.245317827535308e-08,130,1.7740423985596627,1,132,148,149,10,931060149944743683,3,626,313
101078733,0x41dafd1c79be29198acbae74f941cb519abbc9008aa44dcbbfc6fdf57033eb4e,0xc67e1eae2751ae5dfc0dd71dc7d77842402b4444,8.447786428685813e-09,1.3989378483189235e-08,101079040,1.7265991305410273e-08,307,1.2342214721088918,4,308,394,403,13,662204908637869756,6,463,338
101086733,0x7134e8435ac0989c0c98bf8bdd2469bcaf8964e8b0e4a8c7527ce704203d12ee,0x5ec895c3ad36e883d17fe1c1d8c596d201834444,6.8321066912654406e-09,1.018293514692316e-08,101086734,1.1798010850762604e-08,1,1.1586061072310225,2,2,25,43,14,1001752967841011170,2,83,58
101093231,0x6c911f75503da59711d3655aefa4291c0dcac4a5e34bf5aac75d830b3d794514,0x79b068920124be6beb3c1256a76d25d84b1c4444,9.212879847110683e-09,1.1914932746837705e-08,101093319,3.056261233545776e-08,88,2.5650679684758826,2,89,118,229,11,947791935826506229,2,905,603
101119654,0xf444daf71d6544de0a9a47385e30be148b195ee53e550ffd4ada277cb4e4cb0e,0xf0b1c4adc409ca1a0671d38b268622985e014444,9.005885903147735e-09,1.4386377345155858e-08,101119970,7.391979111639686e-08,316,5.1381796363965755,2,320,328,330,112,1364120677943504330,316,1217,434
101119733,0x2982f7d16fad7f6c4dafc2b70711730a8195627bde3aff1613faed326b566dee,0xd8107cbe3ee55abd6a80614e5ee3530489934444,7.890740502854355e-09,1.145536287773858e-08,101119820,4.230949344137e-08,87,3.693422364086853,0,88,92,95,28,1302376386121713126,2,651,240
101119751,0x2567e1d8248b788f230f7d2382c6c8f14d98f828facd18028ee72fc913252043,0xd8107cbe3ee55abd6a80614e5ee3530489934444,1.4602630934289793e-08,1.8506724203787243e-08,101119820,4.230949344137e-08,69,2.2861686906595673,1,70,74,77,10,1127105452795601104,86,622,227
101120792,0xcf9a7cfc89e9f654967f30c9c9e32efd96bc763a53ff67a883bffa61367eb69c,0xfa7c61eef5432395e2ceebeda5e845b1a7c14444,7.931422350687013e-09,2.0103995580191494e-08,101120793,2.1218646038275542e-08,1,1.0554442251858787,0,3,9,17,11,1830878981864705000,1,92,31
101120792,0xc21c56735c274e83354bcb3e5e8cd74db5d29523a30743e0d231dea9980436dc,0xfa7c61eef5432395e2ceebeda5e845b1a7c14444,1.331797495329107e-08,2.0103995580191494e-08,101120793,2.1218646038275542e-08,1,1.0554442251858787,0,3,9,17,11,1830878981864705000,1,92,31
101126520,0xea59ac92a787f14765cc325ce4db1522916e23a4e9ab6fd035aa19d30d846910,0x2390ac827201388d439327e2c55f754b505c4444,1.12677872012902e-08,1.7860413376810275e-08,101130411,3.1245304064268126e-08,3891,1.7494166235164867,0,3893,,,16,1175309380341442360,2,1251,767
101234686,0xecdf7f97e5543156d095728ade7bd04aa9defcfa87535142ad885e787e729e7e,0x2108911f79096798c1ea576765534c6acf334444,6.933691873878974e-09,1.2250082062107947e-08,101234727,1.7395052894298373e-08,41,1.419994805431132,2,42,42,47,17,1222654298542544820,2,347,190
