d_block,tx,token,d_price,n2_price,ath_block,ath_price,ath_offset,ath_mult_vs_n2,first_sell_offset,net_flip_offset,dump_20_offset,dump_30_offset,buyer_decline_offset,max_sell_bnb_wei,max_sell_offset,n_events,n_blocks_active
96296830,0x974e82bc815de6d9572d91e71f17b36fa86e7b7e8aba78535a1cd33e668d684c,0xe0479f70ba1e2b8d069c106800bca7a8be2d4444,7.347510265365301e-09,9.475339602555958e-09,96297065,4.449740548200931e-08,235,4.6961277746716545,5,236,321,356,54,1153369075512518894,134,1637,913
96344543,0x1e4ccd7c7a580bb92b8d43ca25d690d2fcaa4d779c30c180bc6d6a600b8d81a0,0x22413ea64102480d0650e72844989ee7aab84444,4.765056527796527e-06,6.907697550514422e-06,96344563,1.217864290006131e-05,20,1.763053870121218,5,22,30,31,,571131073339479936723,32,99,70
96349707,0xa6702499ab0c25b68aedb8ab72364825dfb8299ed3ac5311a8a55911180b7227,0x1c61f1df90518869e395db10eb8c22adc59c4444,2.2764086856062943e-08,2.6404821759447755e-08,96349752,8.578965792543257e-08,45,3.249014846871166,1,46,46,46,38,2698830467654916362,45,746,204
96349799,0x321e97f39e010465be35042eccd8492374b902ec45339a1f9053f50ebd8f669b,0x1c61f1df90518869e395db10eb8c22adc59c4444,5.222973234665838e-08,4.475201050917089e-08,96349800,5.4958363504334436e-08,1,1.228064680872203,2,2,3,12,10,1317756278632963293,2,281,114
96463136,0x292a79b6fbe5f676389f6ec0c73c875138d50a7d4e1e1574b13129c143fb9317,0x555e72fa683af9502ac37c33c6d178ecb98a4444,2.2733890967937022e-08,2.5650572484426932e-08,96463174,4.2387595456192426e-08,38,1.6525009522468528,1,39,53,73,14,993549730109451733,52,1254,680
96503036,0x63f126296c6b991c5f0d43058a79a8dd950578ff377e94dd438b2846aca00214,0xf74231c255992ad52a03f5441c5ab1bf37924444,7.614358900092851e-09,1.3315427732542615e-08,96504094,8.830492648044691e-08,1058,6.63177543028765,1,,,,19,1599202062086803779,741,2310,823
96503336,0x678db7d31a5eb342e1464c1022157ff41e3cb1b436d6a28e0b9cfd47cd4d5b83,0x27a1764dd1dee5308ad632eb6f3fb8856ca6ffff,1.0503246234517255e-08,1.503770676341707e-08,96503351,2.917049713032834e-08,15,1.9398235109420254,2,17,22,28,24,912013719394238554,7,379,219
96508274,0x78a42d65f917fe13aadbc1c1a26b3b2156bad8e625c024983e04bc726eebec6c,0x65fc1103f72b8d6c6c8f1a5336cf283bed764444,4.759809444450503e-06,7.021248343281375e-06,96508798,2.658337356185981e-05,524,3.7861320754018637,5,526,680,697,55,520829459287613096156,1442,1071,778
96509681,0x7fac6b97b10db3e0ff3724ad91a34f1860a715845260b9cfd9e490f4989a348b,0x7bece81ab03372f4604a561a66c04a027cc14444,1.0659959414329264e-08,1.6301779612976027e-08,96509700,2.1580887975866143e-08,19,1.3238363226728944,5,21,31,35,23,803649259061840620,35,381,226
96510149,0x8d5a3f59240b1c1d099d02ec0c9c586bc35062810795b9b37ce618bc7a857cd7,0x5e7c1bcfe00a0a3fe6c4c2a85ead2c8e135b4444,8.828336070840503e-09,1.4236737316419313e-08,96510158,2.154176807221282e-08,9,1.5131112974437317,1,11,13,27,26,734050661584802961,65,216,122
