block,tx,token,bnb_in,tokens_out,mcap_d_usd,mcap_n2_usd,mcap_low_usd,mcap_ath_usd,ath_offset_blocks,post_buy_points,ath_mult_vs_d,ath_mult_vs_n2,dd_mult_vs_n2
96255646,0x37e5543e3b38b00bfbb0342c49f6c4e43b1717978befd91a998ccfb361b04465,0x7ce55d6604f37057b0af7c2460325f522b5f4444,0.683100,81107467.36,5306,7079,6188,14204,3882,262,2.68,2.01,0.87
96278105,0xb5fa016479f3d0038020ce3967dc2f1880e0bc38925e3699e78b185276ad2b59,0x34c5fc90e8c63b00ef8c803a832b76eca17e4444,0.683100,91656405.40,4695,5304,5304,9295,11,22,1.98,1.75,1.00
96296830,0x974e82bc815de6d9572d91e71f17b36fa86e7b7e8aba78535a1cd33e668d684c,0xe0479f70ba1e2b8d069c106800bca7a8be2d4444,0.683100,92970268.20,4629,5573,5203,28033,235,879,6.06,5.03,0.93
96344543,0x1e4ccd7c7a580bb92b8d43ca25d690d2fcaa4d779c30c180bc6d6a600b8d81a0,0x22413ea64102480d0650e72844989ee7aab84444,426.383668,89481345.28,3001986,4251620,4251620,7672545,20,50,2.56,1.80,1.00
96349707,0xa6702499ab0c25b68aedb8ab72364825dfb8299ed3ac5311a8a55911180b7227,0x1c61f1df90518869e395db10eb8c22adc59c4444,0.990000,43489554.68,14341,16591,16591,54047,45,351,3.77,3.26,1.00
96349799,0x321e97f39e010465be35042eccd8492374b902ec45339a1f9053f50ebd8f669b,0x1c61f1df90518869e395db10eb8c22adc59c4444,0.049500,947736.05,32905,26418,26418,34624,1,104,1.05,1.31,1.00
96463136,0x292a79b6fbe5f676389f6ec0c73c875138d50a7d4e1e1574b13129c143fb9317,0x555e72fa683af9502ac37c33c6d178ecb98a4444,0.990000,43547318.91,14322,15694,15168,26704,38,644,1.86,1.70,0.97
96503036,0x63f126296c6b991c5f0d43058a79a8dd950578ff377e94dd438b2846aca00214,0xf74231c255992ad52a03f5441c5ab1bf37924444,0.683100,89712083.31,4797,8665,8454,55632,1058,1220,11.60,6.42,0.98
96503336,0x678db7d31a5eb342e1464c1022157ff41e3cb1b436d6a28e0b9cfd47cd4d5b83,0x27a1764dd1dee5308ad632eb6f3fb8856ca6ffff,0.683100,65037035.67,6617,10619,8306,18377,15,187,2.78,1.73,0.78
96508274,0x78a42d65f917fe13aadbc1c1a26b3b2156bad8e625c024983e04bc726eebec6c,0x65fc1103f72b8d6c6c8f1a5336cf283bed764444,310.929611,65323961.98,2998680,4256309,4256309,16747525,524,565,5.58,3.93,1.00
