block,tx,token,bnb_in,tokens_out,mcap_d_usd,mcap_n2_usd,mcap_low_usd,mcap_ath_usd,ath_offset_blocks,post_buy_points,ath_mult_vs_d,ath_mult_vs_n2,dd_mult_vs_n2
102038445,0x190c1bb8e25be71091ac26dd41658d829596ab054827a2b4adc8110e57a68fd9,0xab48ac3bf0580914f9849944cd4d6d4f33ec4444,0.683100,92742287.48,4640,6000,4899,11217,378,133,2.42,1.87,0.82
102038833,0xf483cfd1b3981b33fe0ec1739107b1e489879ef51323af9ac5512c569c2530d2,0x124f73e7b8a570bcf25ec546815c6fd49e474444,0.683100,60513591.80,7112,10233,10233,10458,2,69,1.47,1.02,1.00
102044905,0xa8af54478cd7f10caf5fc28dbca0ca073f0a5d9b3e0967230e0372da9ce642b6,0x9f54b1dd9b1437c6096ce80855cd6848269f4444,2.970000,204553455.25,9147,32857,11795,53141,23,229,5.81,1.62,0.36
102045102,0x6eafc22a46bf5c378aee99a19a696ab71e67da0aa85bdfef991970bc2d907712,0xe8d5dad70ca70b9f3ae1b12ae864686236de4444,0.683100,83610752.93,5147,8139,8139,21726,137,185,4.22,2.67,1.00
102045456,0x61a56485db2a52ad33a4e7ad92f4a21a437d0f5b6d4be9512eece3489a9574bd,0x4a0f8ff711bcc2ecc3d2c84c7267300d49dd4444,0.683100,30167318.71,14266,9460,9221,35418,346,1064,2.48,3.74,0.97
102045620,0xcfa539e1956977f9d0c45fc3d58823fffe6144f054aa8c577c27bf2b25db154c,0x1245253543377d3849e48f62fdaf928ada894444,0.683100,30333366.91,14187,15663,12673,27400,54,368,1.93,1.75,0.81
102073767,0xcdb19cf53c499939ab0ab94a37e298de0b6e0d44d8ab284890b327e58fcab6dd,0x1648d8290dd98142922bf48a310e9f1b19fa4444,0.683100,62325130.21,6905,11208,11208,14594,15,63,2.11,1.30,1.00
102073767,0xb239e49df9e0d575d04ac1bf70ca26457cc32b23ecc8254c00849b4431f61f9c,0x1648d8290dd98142922bf48a310e9f1b19fa4444,0.683100,53448298.02,8052,11208,11208,14594,15,63,1.81,1.30,1.00
102073812,0xd358aaedbc9d75464e5ee85041583fcc60fac62511aac48c9948431495b36eeb,0xb72da14c9c15920593ef95f05e3f23a123cf4444,0.683100,70544352.17,6100,9296,8370,22720,26,230,3.72,2.44,0.90
102073829,0x72db5fc46f0eece0cf8bd39cca8b1776569e2735d91008124930c8e95e46a0f1,0xb72da14c9c15920593ef95f05e3f23a123cf4444,0.049500,1748693.50,17833,17066,13814,22720,9,182,1.27,1.33,0.81
102079214,0xc0b1af05f4b81073b38797ddb2cbcbc1fb8aa57f2f4e4709da414bb1b37746be,0x17671ec47de3cf5c2faae05e9dde39059ea74444,0.495000,79097496.11,3943,5805,5805,6867,1,19,1.74,1.18,1.00
102079918,0x6e5a7f0326beabbfb63f717deb195e1e7a6c72cccb8bcbb4fe6bc1605363e3d4,0xe5ee5a2668c084de842c8292f53a9c83010a4444,0.683100,80491154.06,5347,6066,6066,7804,1,39,1.46,1.29,1.00
102100945,0x97cdbbbac8bda1880399d76de4058a927d983e5ca7c63b84d9eadfa16932bb96,0xd2687907db89ee95a45c9db7c6976c3c68834444,0.683100,80452662.06,5349,11644,8548,55191,2070,1541,10.32,4.74,0.73
102100946,0x093091df67a90cd41c75f817e79f530a4cbd02dcb9de4799585b597b6a87ec8a,0xd2687907db89ee95a45c9db7c6976c3c68834444,0.683100,47426361.03,9074,11858,8548,55191,2069,1537,6.08,4.65,0.72
