ts_unix_ns,portfolio,kol_name,token_address,token_symbol,bnb_in_wei,bnb_out_wei,pnl_wei,pnl_bnb,pnl_usd,pnl_pct,d_mcap_usd,our_entry_mcap_usd,bnb_usd_close,opened_at_block,closed_at_block,held_secs,buy_tx_count,close_reason,trigger_sell_tx,kol_exit_count,kol_exit_mcap_first_usd,kol_exit_mcap_last_usd,our_avg_exit_mcap_usd
1779778261430444664,fast_tip,O,0x6657adbcaa70f579a46a13dbab7961695e434444,币安恋,30000000000000000,28534368657996128,-1465631342003872,-0.001466,-0.96,-0.048854,42278,45575,658.01,100494645,100494646,1,1,kol_sell,0x4e76c3a699090d9bbcc0e45ced439c02cee8258817d9ecc937948fdc7e5d5fae,1,44174,44174,43349
1779779401094454747,fast_tip,O,0x5e3fa66568fd526e5b9b67d54dab6946e3aa4444,发财熊,11971228183185644,31624322917090677,19653094733905033,0.019653,12.90,1.641694,8288,9630,656.15,100497174,100497185,5,1,kol_sell,0xc4a346057cf9e8d519fa980ee5feedb3045edcb8320f0f9815e57ccdf4992553,1,23429,23429,25439
1779779419257092087,fast_tip,A,0x5e3fa66568fd526e5b9b67d54dab6946e3aa4444,发财熊,30000000000000000,16915596500912284,-13084403499087716,-0.013084,-8.59,-0.436147,39487,41133,656.15,100497215,100497220,2,1,kol_sell,0x7037cbb29d23b1795aa4c5788a60d15ea715f25a56a08c206be88173c9cc37be,1,25465,25465,23193
1779779414192540433,fast_tip,D,0xaa8ba2b3904efd96b63582e98845f8f03a494444,大熊贝尔,15000000000000000,19349174300867398,4349174300867398,0.004349,2.85,0.289945,7561,7876,656.15,100497204,100497221,7,1,kol_sell,0x7085b652bf8cd1f5ebbb5c3cb2fd302d19acc7169bb3f571a57ae3baa63b59e6,1,11083,11083,10160
1779779401094454747,fast_tip,O,0x5e3fa66568fd526e5b9b67d54dab6946e3aa4444,发财熊,5364662604784190,9023987633004047,3659325028219857,0.003659,2.40,0.682117,8288,9630,656.15,100497174,100497228,24,1,kol_sell,0x73666a38b00c74e5c115c6461fef75876e3e540b76f0f8270cabceb7e30069f0,1,18583,18583,16198
1779779401094454747,fast_tip,O,0x5e3fa66568fd526e5b9b67d54dab6946e3aa4444,发财熊,3754012068741150,6161006306436597,2406994237695447,0.002407,1.58,0.641179,8288,9630,656.15,100497174,100497232,26,1,kol_sell,0x2276f2b2b94f8fcbcf80e5406a8beb9fd1cf59c1e6c85f792f6ddc897cc0afc7,1,18906,18906,15804
1779779433685168528,fast_tip,A,0x5e3fa66568fd526e5b9b67d54dab6946e3aa4444,发财熊,28691559650091228,20128376221673397,-8563183428417831,-0.008563,-5.62,-0.298457,31265,32568,655.97,100497247,100497252,2,1,kol_sell,0x6945f4212a380154b43f89246fb86bd3fd0d8907fc0ffae1f136dcef592775ce,1,24881,24881,22848
1779779423688643526,fast_tip,E,0x5e3fa66568fd526e5b9b67d54dab6946e3aa4444,发财熊,30000000000000000,26866082784706504,-3133917215293496,-0.003134,-2.06,-0.104464,20546,21402,655.97,100497225,100497254,13,1,kol_sell,0x7d8ff4aeb5814bf48b69ec98434206cf61f3100002d83ab3df215b68594df681,1,20639,20639,19161
1779779401094454747,fast_tip,O,0x5e3fa66568fd526e5b9b67d54dab6946e3aa4444,发财熊,8763534009088628,9658723512783538,895189503694910,0.000895,0.59,0.102149,8288,9630,655.97,100497174,100497260,38,1,kol_sell,0x50c4263308b7accd383cf01e2c45affdd689972a5d31657a5e0454b55f01d12f,1,12099,12099,10610
1779779414192540433,fast_tip,D,0xaa8ba2b3904efd96b63582e98845f8f03a494444,大熊贝尔,15000000000000000,8217362295418788,-6782637704581212,-0.006783,-4.45,-0.452176,7561,7876,655.97,100497204,100497293,41,1,kol_sell,0xc5af43f06c06a7990f6ccb60a99d7de1270fe59e3b5753bd27490619b0691a31,1,4993,4993,4314
