ts_utc,kol,visibility,token_symbol,token_address,dev_address,kol_entry_mcap_usd,our_entry_mcap_usd,kol_exit_mcap_usd,our_exit_mcap_usd,bnb_in,bnb_out,pnl_usd,pnl_pct,held_secs,close_reason,buy_kol_implied,sell_trigger_tx
2026-05-28 07:19:08,D,public,光源,0x11a6659ce99d6a0d5868af8fccf24fed951a4444,0x212af64bd76116c700fff9d246ac0e2d8dd53576,4922.00,5181.00,29919.00,23472.00,0.096214,0.289082,122.11,200.46,29,kol_sell,,0xb45b29bc73b40a6d88dd62b6c2922301c6ef7f05930eddd44a12b2216cbd7de6
2026-05-28 07:19:06,D,private,光源,0x45d89b2f5ef959a1bff96668b9ccce1e13ff4444,0x32b68553255e3525519cc6bf21d4821e4e62d9bd,41172.00,42888.00,132687.00,145898.00,0.038380,0.130562,58.39,240.19,14,kol_sell,,0x78865e8b848838aa64247d5807c19d8c65e23bea2f9dd1272e9e820d66a6da82
2026-05-28 14:02:49,D,public,What if,0x62428e79b491922e06e91e80e6fa25987b794444,0x38d0a7bc7e50632abe2df38e061680455fb89266,5827.00,6133.00,13522.00,12742.00,0.056274,0.116914,38.28,107.76,6,kol_sell,,0x743daef0bfeaeea0ff93d0d16eb95df091611dd2b4f68089114f73935d540af1
2026-05-27 12:02:04,D,public,MPW,0xf3795b94eeda4485bb7e735ac46a8b9e7ecd4444,0x815f173371323a3f8ea9bf15059e91c9577ef7a7,4776.00,5027.00,13422.00,12618.00,0.034863,0.087512,34.37,151.01,19,kol_sell,,0x8c4d8e685740e63c9a98fd312750ff299ab95444e3110e82b096807e3890c6d8
2026-05-26 13:50:20,D,public,FOURHOUSE,0x36350bc624d09357f0f38cecc162fac4bca84444,0x57a01234c07902722dca5c7363c4cdde6b059f9d,8435.00,8878.00,23781.00,22322.00,0.029732,0.074749,29.81,151.41,10,kol_sell,,0x9687859e944901b58c2d6704204296a0af5460a221b188020a6b4c8ebf3e9266
2026-05-26 09:12:22,D,public,RichBear,0x9d601dae218b319899983337a6bd3780bfb84444,0x1f4788f67b734a693c474b6156d6729a61d4c46e,6083.00,6403.00,15344.00,14397.00,0.032632,0.073373,26.73,124.85,10,kol_sell,,0x349e8f21f31095b60a0d9cad2fbe2ea4f84e8f7377e2bdf811369c7b614ac6cb
2026-05-28 14:42:32,D,public,VBNB,0xf5af1b9eb91cbdfb3250cf3d096f1af874ef4444,0x78667855f74bbe1e64718a97f33a824fab79ff09,4622.00,4866.00,8263.00,7776.00,0.062338,0.099688,23.58,59.91,24,kol_sell,,0xddcfc16f7915abef468d98fe8f1e996f2692e4e86a68c78dfabcbac012ae437e
2026-05-27 11:25:47,I,public,華語,0x11d7b0976163c9a39cac9e439827a7db3b064444,0x7eaf232fff53499fd3ead3c93924671b149e4837,4592.00,4834.00,11253.00,10543.00,0.030000,0.065427,23.13,118.09,12,kol_sell,,0x934914e739179ac99853da855e8b9f8ea76ff20e868c6908ab16a69a84d832d1
2026-05-26 17:45:34,D,public,BUMP,0x2b6e3d7141efba79b0856e911c7aed001e744444,,4873.00,5129.00,11535.00,10797.00,0.028951,0.060945,21.09,110.51,24,kol_sell,,0x94d245ba6eef227f658c46dfd6353abd450d8a8c6501f69ecb46343a4a9f78e6
2026-05-26 12:00:23,D,private,VIBEDOG,0xbd0be2e16948f7af29c7c048ae818cc271e54444,0x3add548bb066046e271c45e427a2dc5bc1cb907f,5600.00,5834.00,19494.00,18356.00,0.014878,0.046815,20.95,214.65,10,kol_sell,,0x70cc0e89781480cf2ef2cb4ba9bdbe55d7368924847884fa08224af84a6be4d3
